CIE10,DIAGNO,CLASIFICA,CDIAG
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,,A041      INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A418,OTRAS SEPSIS,SEPTICEMIA NO ESPECIFICADA,A418      OTRAS SEPTICEMIAS ESPECIFICADAS
A419,OTRAS SEPSIS,SEPTICEMIA NO ESPECIFICADA,A419      SEPTICEMICEMIAS NO ESPECIFICAD
A810,ENFERMEDAD DE CREUTZFELDT-JAKOB,ENFERMEDAD DE CREUTZFELDT-JAKOB,A810      ENFERMEDAD DE CREUTZFELDT-JAKOB
B431,ABSCESO CEREBRAL FEOMICOTICO,ABSCESO CEREBRAL FEOMICOTICO,B431      ABSCESO CEREBRAL FEOMICOTICO
C00,TUMOR MALIGNO DEL LABIO,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C00       TUMOR MALIGNO DEL LABIO
C000,TUMOR MALIGNO DEL LABIO SUPERIOR CARA EXTERNA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C000      TUMOR MALIGNO DEL LABIO SUPERIOR CARA EXTERNA
C001,TUMOR MALIGNO DEL LABIO INFERIOR CARA EXTERNA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C001      TUMOR MALIGNO DEL LABIO INFERIOR CARA EXTERNA
C002,TUMOR MALIGNO DEL LABIO CARA EXTERNA SIN OTRA ESPECIFICACION,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C002      TUMOR MALIGNO DEL LABIO CARA EXTERNA SIN OTRA ESPECIFICACION
C003,TUMOR MALIGNO DEL LABIO SUPERIOR CARA INTERNA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C003      TUMOR MALIGNO DEL LABIO SUPERIOR CARA INTERNA
C004,TUMOR MALIGNO DEL LABIO INFERIOR CARA INTERNA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C004      TUMOR MALIGNO DEL LABIO INFERIOR CARA INTERNA
C005,TUMOR MALIGNO DEL LABIO CARA INTERNA SIN OTRA ESPECIFICACION,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C005      TUMOR MALIGNO DEL LABIO CARA INTERNA SIN OTRA ESPECIFICACION
C006,TUMOR MALIGNO DE LA COMISURA LABIAL,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C006      TUMOR MALIGNO DE LA COMISURA LABIAL
C008,LESION DE SITIOS CONTIGUOS DEL LABIO,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C008      LESION DE SITIOS CONTIGUOS DEL LABIO
C009,TUMOR MALIGNO DEL LABIO PARTE NO ESPECIFICADA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C009      TUMOR MALIGNO DEL LABIO PARTE NO ESPECIFICADA
C01,TUMOR MALIGNO DE LA BASE DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C01       TUMOR MALIGNO DE LA BASE DE LA LENGUA
C02,TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA LENGUA,TUMORES MALIGNOS DE LABIO DE LA CAVIDAD BUCAL Y DE LA FARINGE,C02       TUMOR MALIGNO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA LENGUA
