tipren,numreq,codcli,emision,codven,codart,codcta,descrip,iva,por_iva,cantidad,costo,dstpr,dstvr,tot_ren,tipprecio,NumLote,Almacen,Aproba,NumOrg,NumDes,CanSal,FecEnt,des_Iva
I,002011-000012023,0992262192,2024-01-04,,S-048,,SIMVASTATINA 20mg Sólido Oral,B,0.0,100.0,0.375,0.0,0.0,37.5,,,B-FAR,,CP001101-001181211,,100.0,2024-10-10,
I,002011-000012023,0992262192,2024-01-04,,S-062,,SIMVASTATINA 40mg Sólido Oral,B,0.0,300.0,0.417,0.0,0.0,125.1,,,B-FAR,,CP001101-001181211,,300.0,2024-10-15,
I,002011-000012025,1709023723,2024-01-05,,SOF337,,SUM BRAZALETE PARA IDENTIFICACION DE PACIENTE,A,12.0,600.0,0.25,0.0,0.0,150.0,,,SUMI,,CP001010-000002133,,600.0,2024-01-05,
I,002011-000012026,0992262192,2024-01-05,,S-015,,RISPERIDONA 2mg Sólido oral Tableta,B,0.0,1600.0,1.2,0.0,0.0,1920.0,,,B-FAR,,CP001101-001181583,,1600.0,2025-01-27,
I,002011-000012027,0992262192,2024-01-05,,C-086,,LEVETIRACETAM 500 mg Sólido Oral,B,0.0,540.0,0.9373,0.0,0.0,506.16,,,B-FAR,,CP001101-001181584,,540.0,2026-03-12,
I,002011-000012027,0992262192,2024-01-05,,G-009,,RISPERIDONA 1mg Sólido oral Tableta,B,0.0,1200.0,0.6085,0.0,0.0,730.2,,,B-FAR,,CP001101-001181584,,1200.0,2025-08-31,
I,002011-000012027,0992262192,2024-01-05,,G-008,,RISPERIDONA 1mg/mL Líquido oral fco (20mL),B,0.0,60.0,13.95,0.0,0.0,837.0,,,B-FAR,,CP001101-001181584,,60.0,2026-09-06,
I,002021-000001276,1792060346,2024-01-04,,NUTCAR682,,ZN HUEVO MARRON UND,B,0.0,390.0,0.1504,0.0,0.0,58.66,,,COCIN,,,,0.0,2024-01-04,
I,002021-000001276,1792060346,2024-01-04,,NUTCAR020,,ZN JAMON FAMILIAR LA CASTILLA,B,0.0,4.045,5.7033,0.0,0.0,23.07,,,COCIN,,,,0.0,2024-01-04,
I,002021-000001276,1792060346,2024-01-04,,NUTCAR008,,ZN CARNE MOLIDA ESPECIAL,B,0.0,10.695,5.4755,0.0,0.0,58.56,,,COCIN,,,,0.0,2024-01-04,
